card_set,total_cards,signed_cards,known_autos,unknown_autos,total_known_signed_cards
"2014 panini immaculate collection football - rookie patches autographs football star variation",1,1,1,0,25
"2014 retro series",30,0,0,0,0
"2014 retro series black pandora",30,0,0,0,0
"2014 retro series dragon",30,0,0,0,0
"2014 retro series gold",30,0,0,0,0
"2014 retro series gold vinyl",30,0,0,0,0
"2014 retro series ice",30,0,0,0,0
"2014 retro series purple stars",30,0,0,0,0
"2015 contenders tribute autographs",1,1,1,0,25
"2015 contenders tribute autographs gold vinyl",1,1,1,0,1
"2015 immaculate collegiate",3,0,0,0,0
"2015 national treasures football - notable nicknames",1,0,0,0,0
"2015 panini flawless football - greats patches dual autographs emerald",1,1,1,0,2
"2015 panini flawless football - greats patches dual autographs platinum",1,1,1,0,1
"2015 panini immaculate collegiate - premium patches autographs",1,1,0,1,0
"2015 panini immaculate collegiate - premium patches autographs gold",1,1,0,1,0
"2015 panini immaculate collegiate - premium patches autographs platinum",1,1,0,1,0
"2015 super bowl signatures",3,3,0,3,0
"2016 flawless football - flawless victors",1,0,0,0,0
"2016 flawless football - flawless victors emerald",1,0,0,0,0
"2016 flawless football - flawless victors platinum",1,0,0,0,0
"2016 flawless football - flawless victors ruby",1,0,0,0,0
"2016 flawless football - flawless victors sapphire",1,0,0,0,0
"2016 flawless football - flawless victors silver",1,0,0,0,0
"2016 flawless football - legendary signatures emerald",1,1,1,0,2
"2016 flawless football - legendary signatures platinum",1,1,1,0,1
"2016 flawless football - legendary signatures ruby",1,1,1,0,5
"2016 flawless football - legendary signatures sapphire",1,1,1,0,2
"2016 flawless football - legendary signatures silver",1,1,1,0,5
"2016 immaculate collegiate",3,0,0,0,0
"2016 panini flawless football - patch autographs",2,2,1,1,10
"2016 panini flawless football - patch autographs emerald",2,2,1,1,2
"2016 panini flawless football - patch autographs platinum",2,2,1,1,1
"2016 panini flawless football - patch autographs ruby",2,2,1,1,5
"2016 panini flawless football - patch autographs sapphire",2,2,1,1,5
"2016 panini flawless football - patch autographs silver",2,2,1,1,10
"2017 flawless",66,0,0,0,0
"2017 flawless collegiate - flawless team logo signatures",1,1,1,0,25
"2017 flawless collegiate - flawless team logo signatures black",1,1,1,0,1
"2017 flawless collegiate - flawless team logo signatures gold",1,1,1,0,10
"2017 flawless collegiate - flawless team logo signatures sapphire",1,1,1,0,20
"2017 flawless collegiate - flawless team slogan signatures",4,4,3,1,75
"2017 flawless collegiate - flawless team slogan signatures black",7,7,6,1,6
"2017 flawless collegiate - flawless team slogan signatures emerald",7,7,6,1,30
"2017 flawless collegiate - flawless team slogan signatures gold",7,7,6,1,59
"2017 flawless collegiate - flawless team slogan signatures sapphire",4,4,3,1,60
"2017 flawless collegiate - patch autographs",1,1,1,0,19
"2017 flawless collegiate - patch autographs emerald",1,1,1,0,4
"2017 flawless collegiate - patch autographs gold",1,1,1,0,4
"2017 flawless collegiate - patch autographs sapphire",1,1,1,0,14
"2017 flawless collegiate dual patch autographs gold",1,1,0,1,0
"2017 limited - ring of honors autographs",1,1,1,0,10
"2017 limited - ring of honors autographs emerald spotlight",1,1,1,0,3
"2017 limited - ring of honors autographs printing plate black",1,1,1,0,1
"2017 limited - ring of honors autographs printing plate cyan",1,1,1,0,1
"2017 limited - ring of honors autographs printing plate magenta",1,1,1,0,1
"2017 limited - ring of honors autographs printing plate yellow",1,1,1,0,1
"2017 limited - ring of honors autographs ruby spotlight",1,1,1,0,5
"2017 limited - ring of honors autographs sapphire spotlight",1,1,1,0,1
"2017 national treasures football - synced signatures",2,2,2,0,20
"2017 panini flawless collegiate - dual diamond memorabilia autographs black",1,1,0,1,0
"2017 panini flawless collegiate - dual diamond memorabilia autographs emerald",1,1,0,1,0
"2017 panini flawless collegiate - dual diamond memorabilia autographs gold",1,1,0,1,0
"2017 panini flawless collegiate - dual diamond memorabilia autographs silver",1,1,0,1,0
"2017 panini flawless collegiate - dual patch autographs",1,1,0,1,0
"2017 panini flawless collegiate - dual patch autographs black",1,1,0,1,0
"2017 panini flawless collegiate - dual patch autographs emerald",1,1,0,1,0
"2017 panini flawless collegiate - dual patch autographs gold",1,1,0,1,0
"2017 panini flawless collegiate - dual patch autographs sapphire",1,1,0,1,0
"2017 panini flawless collegiate - flawless dual signatures",2,2,0,2,0
"2017 panini flawless collegiate - flawless dual signatures black",4,4,0,4,0
"2017 panini flawless collegiate - flawless dual signatures emerald",4,4,0,4,0
"2017 panini flawless collegiate - flawless dual signatures gold",4,4,0,4,0
"2017 panini flawless collegiate - flawless dual signatures sapphire",2,2,0,2,0
"2017 panini flawless collegiate - flawless team slogan signatures black",3,3,1,2,1
"2017 panini flawless collegiate - flawless team slogan signatures emerald",3,3,1,2,5
"2017 panini flawless collegiate - flawless team slogan signatures gold",3,3,1,2,10
"2017 panini flawless collegiate - flawless team slogan signatures sapphire",1,1,1,0,20
"2017 panini flawless collegiate - patch autographs",1,1,0,1,0
"2017 panini flawless collegiate - patch autographs black",1,1,0,1,0
"2017 panini flawless collegiate - patch autographs emerald",1,1,0,1,0
"2017 panini flawless collegiate - patch autographs gold",1,1,0,1,0
"2017 panini flawless collegiate - patch autographs sapphire",1,1,0,1,0
"2017 panini flawless football - all-pro ink",1,1,0,1,0
"2017 panini flawless football - all-pro ink emerald",1,1,0,1,0
"2017 panini flawless football - all-pro ink platinum",1,1,0,1,0
"2017 panini flawless football - all-pro ink ruby",1,1,0,1,0
"2017 panini flawless football - all-pro ink sapphire",1,1,0,1,0
"2017 panini flawless football - all-pro ink silver",1,1,0,1,0
"2017 panini flawless football - great",1,0,0,0,0
"2017 panini flawless football - greats emerald",1,0,0,0,0
"2017 panini flawless football - greats platinum",1,0,0,0,0
"2017 panini flawless football - greats ruby",1,0,0,0,0
"2017 panini flawless football - greats sapphire",1,0,0,0,0
"2017 panini flawless football - greats silver",1,0,0,0,0
"2017 playoff contenders football - veteran championship ticket autograph",1,1,0,1,0
"2017 playoff contenders football - veteran cracked ice ticket autograph",1,1,0,1,0
"2017 playoff contenders football - veteran playoff ticket autograph",1,1,0,1,0
"2017 playoff contenders football - veteran super bowl ticket autograph",1,1,0,1,0
"2017 playoff contenders football - veteran ticket autograph",1,1,0,1,0
"2017 playoff contenders football - veteran ticket printing plate autograph black",1,1,0,1,0
"2017 playoff contenders football - veteran ticket printing plate autograph cyan",1,1,0,1,0
"2017 playoff contenders football - veteran ticket printing plate autograph magenta",1,1,0,1,0
"2017 playoff contenders football - veteran ticket printing plate autograph yellow",1,1,0,1,0
"2017 playoff national treasures football - rookie colossal signatures",1,1,0,1,0
"2017 playoff national treasures football - rookie colossal signatures brand logo",1,1,0,1,0
"2017 playoff national treasures football - rookie colossal signatures laundry tag",1,1,0,1,0
"2017 playoff national treasures football - rookie colossal signatures nfl shield",1,1,0,1,0
"2017 playoff national treasures football - rookie colossal signatures prime",1,1,0,1,0
"2017 playoff national treasures football - rookie nfl gear signature combos",1,1,0,1,0
"2017 playoff national treasures football - rookie nfl gear signature combos laundry tag brand logo",1,1,0,1,0
"2017 playoff national treasures football - rookie nfl gear signature combos laundry tag nfl player's",1,1,0,1,0
"2017 playoff national treasures football - rookie nfl gear signature combos laundry tag nfl shield",1,1,0,1,0
"2017 playoff national treasures football - rookie nfl gear signature combos prime",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs black",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs green jersey number",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs holo gold",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs holo silver",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs platinum nfl shield",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs printing plate black",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs printing plate cyan",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs printing plate magenta",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs printing plate yellow",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs red",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs red brand logo",1,1,0,1,0
"2017 playoff national treasures football - rookie patch autographs red laundry tag",1,1,0,1,0
"2017 playoff national treasures football - the future",1,0,0,0,0
"2018 base autographs",2,2,2,0,30
"2018 elegance veteran patch autos",1,1,1,0,49
"2018 elegance veteran patch autos gold",1,1,1,0,15
"2018 elegance veteran patch autos platinum",1,1,1,0,1
"2018 elegance veteran patch autos silver",1,1,1,0,25
"2018 encased base autographs",1,1,0,1,0
"2018 flawless",49,0,0,0,0
"2018 flawless collegiate - flawless team slogan signatures black",1,1,0,1,0
"2018 flawless team logo signatures",1,1,0,1,0
"2018 flawless team logo signatures black",1,1,0,1,0
"2018 flawless team logo signatures emerald",1,1,0,1,0
"2018 flawless team logo signatures gold",1,1,0,1,0
"2018 flawless team logo signatures sapphire",1,1,0,1,0
"2018 gold signatuers",1,0,0,0,0
"2018 gold signatures",1,1,0,1,0
"2018 immaculate collegiate",3,0,0,0,0
"2018 immaculate collegiate football - rookie autographs",1,1,1,0,99
"2018 immaculate collegiate football - rookie autographs gold",1,1,1,0,25
"2018 immaculate collegiate football - rookie autographs platinum",1,1,1,0,1
"2018 impeccable jersey number autographs",1,1,1,0,74
"2018 impeccable victory",1,0,0,0,0
"2018 impeccable victory gold",1,0,0,0,0
"2018 impeccable victory platinum",1,0,0,0,0
"2018 impeccable victory printing plate black",1,0,0,0,0
"2018 impeccable victory printing plate cyan",1,0,0,0,0
"2018 impeccable victory printing plate magenta",1,0,0,0,0
"2018 impeccable victory printing plate yellow",1,0,0,0,0
"2018 impeccable victory silver",1,0,0,0,0
